blockLot,fullAddress,City,State,neighborhood,councilDistrict,policeDistrict,Latitude,Longitude
3935 130,2792 1/2 Tivoly Ave,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3235725182,-76.5921681768
0411 032,715 N Fremont Ave,Baltimore,MD,Upton,11,Central,39.2973522251,-76.6331659559
0098 023,718 N Gilmor St,Baltimore,MD,Harlem Park,9,Western,39.2970575748,-76.6431361411
0338 012,1722 Division St,Baltimore,MD,Upton,11,Central,39.3045601683,-76.6341827118
1138 106,1408 N Bethel St,Baltimore,MD,Oliver,12,Eastern,39.3066917395,-76.5961820389
1513 027,1716 E Preston St,Baltimore,MD,Broadway East,12,Eastern,39.3055739492,-76.5937655564
0082 073,806 N Brice St,Baltimore,MD,Midtown - Edmondson,9,Western,39.2979780309,-76.6501224611
0534 007,13 W Mount Vernon Pl,Baltimore,MD,Mount Vernon,11,Central,39.2970323198,-76.6167280479
3445 050,804 Reservoir St,Baltimore,MD,Reservoir Hill,7,Central,39.3129028463,-76.6321855828
3410 014,2519 Francis St,Baltimore,MD,Penn North,7,Western,39.3132776831,-76.642132563
1691 049,2538 E Fayette St,Baltimore,MD,Mcelderry Park,13,Southeastern,39.2946536338,-76.5808212505
2402 026,1824 Ashburton St,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.3087295821,-76.6625141401
0072 061,901 Mckean Ave,Baltimore,MD,Sandtown - Winchester,9,Western,39.2991301269,-76.6465289111
6277A041,12 S Conkling St,Baltimore,MD,Baltimore Highlands,1,Southeastern,39.2919877174,-76.5677218731
0162 025,1947 Penrose Ave,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2910266425,-76.6486941154
3003 016,3030 W North Ave,Baltimore,MD,Walbrook,7,Southwestern,39.309302887,-76.6685164698
1590 014,927 N Patterson Park Ave,Baltimore,MD,Milton - Montford,13,Eastern,39.3014691667,-76.5850437034
7480 021,2605 Pierpont St,Baltimore,MD,Mount Winans,10,Southern,39.2599626251,-76.6433994163
7363 018A,1518 Chesapeake Ave,Baltimore,MD,Fairfield Area,10,Southern,39.236594638,-76.581637962
4579 031,3510 W Garrison Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3455661182,-76.677059974
0275 003,304 S Fulton Ave,Baltimore,MD,Carrollton Ridge,9,Southern,39.2841135448,-76.6451783275
4164A088,1690 Darley Ave,Baltimore,MD,Darley Park,12,Eastern,39.3148834694,-76.5938826223
2142 021,2638 Saint Benedict St,Baltimore,MD,Millhill,9,Southwestern,39.2792675961,-76.6578206998
0207 046,1907 W Baltimore St,Baltimore,MD,Boyd - Booth,9,Southwestern,39.2878503019,-76.6472698517
5165 008H,532 Beaumont Ave,Baltimore,MD,Winston - Govans,4,Northern,39.3517744422,-76.6073861931
0279 092,314 S Parrish St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.283901708,-76.6415989866
1553 084,2227 Henneman Ave,Baltimore,MD,Middle East,13,Eastern,39.3039565304,-76.5860278827
2171 060,2516 Hollins St,Baltimore,MD,Shipley Hill,9,Southwestern,39.2869144247,-76.6569290429
0414 062,541 W Lafayette Ave,Baltimore,MD,Upton,11,Central,39.3014641426,-76.6309390637
4022 008,2115 Homewood Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.313812872,-76.6069537122
0392 009,1316 Myrtle Ave,Baltimore,MD,Upton,11,Central,39.2990594904,-76.6330540793
4002 035,1915 Homewood Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3122873415,-76.6068718875
7463 037,2445 Westport St,Baltimore,MD,Westport,10,Southern,39.2612386274,-76.6367220076
0200 042,1085 W Fayette St,Baltimore,MD,Poppleton,9,Western,39.2895706136,-76.6362700265
2472 005,2937 W Lanvale St,Baltimore,MD,Franklintown Road,9,Southwestern,39.2969071467,-76.6664047445
2169 058,2757 W Fairmount Ave,Baltimore,MD,Shipley Hill,9,Southwestern,39.2883410494,-76.6608306974
2145B018,2502 Dulany St,Baltimore,MD,Millhill,9,Southwestern,39.2815161472,-76.6559703281
3937 003,2876 Harford Road,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3229086572,-76.5889774687
0184 021,110 N Carrollton Ave,Baltimore,MD,Poppleton,9,Western,39.2904849153,-76.6371055425
1446 001,1801 N Broadway,Baltimore,MD,Broadway East,12,Eastern,39.3107707072,-76.5946718385
0016 014,1626 N Gilmor St,Baltimore,MD,Sandtown - Winchester,7,Western,39.3073698991,-76.6437050486
0020 049E,1830 Presstman St,Baltimore,MD,Sandtown - Winchester,7,Western,39.3054388189,-76.6475130135
1626 089,711 N Glover St,Baltimore,MD,Madison - Eastend,13,Eastern,39.2994309988,-76.5800236677
1591 009,2416 E Eager St,Baltimore,MD,Milton - Montford,13,Eastern,39.3019839946,-76.5834624562
1464 082,1713 N Montford Ave,Baltimore,MD,Broadway East,13,Eastern,39.3103426286,-76.5841809195
1454 049E,1823 N Montford Ave,Baltimore,MD,Broadway East,13,Eastern,39.3116973499,-76.5842715796
0196 046,1500 W Baltimore St,Baltimore,MD,Franklin Square,9,Western,39.2886466326,-76.6411317819
8357 015,4302 Kathland Ave,Baltimore,MD,Central Forest Park,8,Northwestern,39.3265182069,-76.6917939573
4003 043,1901 Oak Hill Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3120649129,-76.605873984
4003 032,1923 Oak Hill Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3124887174,-76.6059069132
1484 041,1512 N Montford Ave,Baltimore,MD,Broadway East,13,Eastern,39.3084361264,-76.5845780392
5267E001I,4518 Marble Hall Road,Baltimore,MD,New Northwood,4,Northeastern,39.3456101841,-76.5973104667
0205 005,2109 W Baltimore St,Baltimore,MD,Boyd - Booth,9,Southwestern,39.2878099596,-76.6503827513
4169 069,2138 E North Ave,Baltimore,MD,South Clifton Park,12,Eastern,39.3126794766,-76.5877052411
4593 009,5017 Chalgrove Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.349629957,-76.6703221861
4010B023,1232 Darley Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3158471394,-76.5980268587
1650 038,506 N Castle St,Baltimore,MD,Care,13,Eastern,39.2968547174,-76.5888492898
1645 053,2926 Mcelderry St,Baltimore,MD,Ellwood Park / Monument,13,Southeastern,39.2981808045,-76.5756155391
2848 008A,2916 Chelsea Terr,Baltimore,MD,Windsor Hills,6,Northwestern,39.321237338,-76.682125586
2201 032,2316 Lauretta Ave,Baltimore,MD,Rosemont Homeowners / Tenants,9,Western,39.294292491,-76.6537422906
0105 009,610 N Pulaski St,Baltimore,MD,Midtown - Edmondson,9,Western,39.2956242268,-76.6507516704
8102D029,4700 Dartford Ave,Baltimore,MD,Tremont,8,Southwestern,39.2830603442,-76.6932313209
0095 077,703 Appleton St,Baltimore,MD,Midtown - Edmondson,9,Western,39.2967586731,-76.6480418974
7427 009,2128 Annapolis Road,Baltimore,MD,Westport,10,Southern,39.2649915809,-76.6330760379
2170A033,2564 W Fairmount Ave,Baltimore,MD,Shipley Hill,9,Southwestern,39.2884577875,-76.6582580685
3196C019,3825 Beehler Ave,Baltimore,MD,Lucille Park,6,Northwestern,39.340590397,-76.6759765197
4624 014,3402 Dupont Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3421075702,-76.6717042738
1455 035,1663 N Milton Ave,Baltimore,MD,Berea,13,Eastern,39.3102826523,-76.5825705708
2808 002,3706 Clifton Ave,Baltimore,MD,Mount Holly,7,Southwestern,39.311007328,-76.6801137202
0126 012,524 N Carrollton Ave,Baltimore,MD,Harlem Park,9,Western,39.2949148658,-76.6373885221
0328 058,1807 Division St,Baltimore,MD,Druid Heights,11,Central,39.3054689517,-76.6345621572
1539 004,2607 E Preston St,Baltimore,MD,Berea,13,Eastern,39.3057090483,-76.5807295067
1132 032,1437 Holbrook St,Baltimore,MD,Oliver,12,Eastern,39.3070665008,-76.6029006429
2174B003,2418 W Lombard St,Baltimore,MD,Shipley Hill,9,Southwestern,39.2859756152,-76.6558311369
1516 027,1324 N Washington St,Baltimore,MD,Broadway East,13,Eastern,39.3060412238,-76.5902919503
1587 097,2010 Ashland Ave,Baltimore,MD,Middle East,13,Eastern,39.3008847531,-76.5893292713
0412 010,1218 Argyle Ave,Baltimore,MD,Upton,11,Central,39.2990581816,-76.6312776942
0169 037,209 N Carey St,Baltimore,MD,Poppleton,9,Western,39.2911885979,-76.6379801647
3453 002E,2475 Callow Ave,Baltimore,MD,Reservoir Hill,7,Central,39.3163418569,-76.6311940532
1590 058,902 N Montford Ave,Baltimore,MD,Milton - Montford,13,Eastern,39.3010474103,-76.5840958116
0390 024,1814 N Calvert St,Baltimore,MD,Greenmount West,12,Central,39.3103266346,-76.6139845311
1676 066,2804 Orleans St,Baltimore,MD,Mcelderry Park,13,Southeastern,39.2960024828,-76.5773349453
0181 009,1517 W Lexington St,Baltimore,MD,Franklin Square,9,Western,39.2904306195,-76.6417628138
2718 042,4022 Belle Ave,Baltimore,MD,Dorchester,6,Northwestern,39.3335070193,-76.6857886691
1611 022,828 N Kenwood Ave,Baltimore,MD,Madison - Eastend,13,Eastern,39.3006986357,-76.5784169243
2448 017,1148 N Longwood St,Baltimore,MD,Winchester,9,Southwestern,39.3011031996,-76.6675759204
1516 025,1328 N Washington St,Baltimore,MD,Broadway East,13,Eastern,39.3061076722,-76.5902975201
3.347E11,4215 Pimlico Road,Baltimore,MD,Greenspring,6,Northern,39.3379568887,-76.6627808817
7443 013,2228 Annapolis Road,Baltimore,MD,Westport,10,Southern,39.263985858,-76.633715299
1463 067,1725 N Bradford St,Baltimore,MD,Broadway East,13,Eastern,39.3104855297,-76.5849482842
0393 041A,1331 Myrtle Ave,Baltimore,MD,Upton,11,Central,39.2995870522,-76.632982638
1142B029,732 E Preston St,Baltimore,MD,Johnston Square,12,Eastern,39.3050958353,-76.6070635667
0304 027,2235 Druid Hill Ave,Baltimore,MD,Druid Heights,7,Central,39.3098062229,-76.6378680219
1099B122,1807 Aiken St,Baltimore,MD,Oliver,12,Eastern,39.3108500752,-76.6005279231
3006 019D,1909 N Dukeland St,Baltimore,MD,Walbrook,7,Southwestern,39.3097868231,-76.6637628947
0175 100,2108 W Fayette St,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2895422712,-76.6504859425
1458 046,1706 N Washington St,Baltimore,MD,Broadway East,12,Eastern,39.3099908732,-76.5905307664
2380 013,2824 Rayner Ave,Baltimore,MD,Mosher,9,Western,39.2965440595,-76.6635638045
0235 005,1009 Hollins St,Baltimore,MD,Hollins Market,9,Southern,39.287559852,-76.6340433013
0299 004,1307 W North Ave,Baltimore,MD,Druid Heights,7,Central,39.3099928948,-76.6385905968
2322 031,2206 Presstman St,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.3052867431,-76.652762819
1477 033,1723 E Federal St,Baltimore,MD,Broadway East,12,Eastern,39.3083874568,-76.5935706408
1568 007,1015 N Washington St,Baltimore,MD,Middle East,13,Eastern,39.3026493252,-76.589592197
2411 025,2935 Westwood Ave,Baltimore,MD,Northwest Community Action,7,Southwestern,39.3078982316,-76.6670303491
0303 048,504 Gold St,Baltimore,MD,Druid Heights,7,Central,39.3089214978,-76.6378331951
2280 029,521 Denison St,Baltimore,MD,Lower Edmondson Village,8,Southwestern,39.2934462004,-76.6738551536
0347 025,531 Wilson St,Baltimore,MD,Upton,11,Central,39.3039763873,-76.6336893096
1674 094,407 N Glover St,Baltimore,MD,Mcelderry Park,13,Southeastern,39.2961510144,-76.5798164625
0058 013,1924 Mosher St,Baltimore,MD,Midtown - Edmondson,9,Western,39.2999929149,-76.6483204976
3962 029,1647 Chilton St,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3273122239,-76.5922083363
3448 005,2108 Mount Royal Terr,Baltimore,MD,Reservoir Hill,7,Central,39.3132214327,-76.6270427782
0431 062,1131 Myrtle Ave,Baltimore,MD,Upton,11,Central,39.2978509091,-76.630830097
2455 009,3219 Presstman St,Baltimore,MD,Rosemont,9,Southwestern,39.3041700748,-76.671277228
0176 050,118 N Payson St,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2901575179,-76.6490428443
1109 074,1601 E Lafayette Ave,Baltimore,MD,Oliver,12,Eastern,39.3104012497,-76.5964874108
0299 084,2324 Etting St,Baltimore,MD,Druid Heights,7,Central,39.3098457698,-76.6395832221
0125 040,529 N Calhoun St,Baltimore,MD,Harlem Park,9,Western,39.2948819269,-76.6395933695
2382 035,2706 Prospect St,Baltimore,MD,Mosher,9,Western,39.2988147564,-76.6622507985
3312 020,4052 Park Heights Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3355624655,-76.6637100433
2475C001,3000 W Lanvale St,Baltimore,MD,Franklintown Road,9,Southwestern,39.2971822215,-76.667242706
0005 019,1679 W North Ave,Baltimore,MD,Sandtown - Winchester,7,Western,39.3097171382,-76.6447841149
0062 010,1018 N Stricker St,Baltimore,MD,Sandtown - Winchester,9,Western,39.3005339116,-76.6418999135
0234 022,1143 Hollins St,Baltimore,MD,Hollins Market,9,Southern,39.2871990169,-76.6364550146
0373 013,1424 Argyle Ave,Baltimore,MD,Upton,11,Central,39.3007703055,-76.6335008115
2548 007,20 S Augusta Ave,Baltimore,MD,Irvington,8,Southwestern,39.2853750204,-76.685221751
0376 007,1412 Druid Hill Ave,Baltimore,MD,Upton,11,Central,39.3029158132,-76.6301027346
2439 014,1703 N Ellamont St,Baltimore,MD,Rosemont,7,Southwestern,39.3074749276,-76.6704943259
1458 024,1923 E Lafayette Ave,Baltimore,MD,Broadway East,12,Eastern,39.3106181287,-76.5908690226
0195 015,1629 W Fayette St,Baltimore,MD,Franklin Square,9,Western,39.2894053831,-76.6435327669
0260 084,1815 Dover St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2846292485,-76.6456526253
0204 088,2214 Booth St,Baltimore,MD,Boyd - Booth,9,Southwestern,39.2875221329,-76.6521897768
0767 077,1118 S Carey St,Baltimore,MD,Washington Village / Pigtown,10,Southern,39.2809387682,-76.6360982856
3301 090,3435 Dupont Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3412495375,-76.6718808746
1506 006,2610 E Hoffman St,Baltimore,MD,Berea,13,Eastern,39.307137235,-76.581003852
2230F021,41 N Abington Ave,Baltimore,MD,Carroll - South Hilton,9,Southwestern,39.2869748772,-76.670972703
3327A047,3610 Cottage Ave,Baltimore,MD,Park Circle,6,Northwestern,39.3303807395,-76.6584539351
3208 026,1905 N Monroe St,Baltimore,MD,Mondawmin,7,Western,39.3102960176,-76.6479233325
2183 020,337 Stinson St,Baltimore,MD,Shipley Hill,9,Southwestern,39.2833662392,-76.6583988874
0275 072,1843 Mchenry St,Baltimore,MD,Carrollton Ridge,9,Southern,39.284039838,-76.6462530817
4175A003,1940 Belair Road,Baltimore,MD,South Clifton Park,12,Eastern,39.3139127983,-76.5837051034
1177 044,1525 E Biddle St,Baltimore,MD,Gay Street,12,Eastern,39.3040204182,-76.5967153625
1459 048,1711 N Castle St,Baltimore,MD,Broadway East,12,Eastern,39.3103620057,-76.589101566
3410 003,1412 Retreat St,Baltimore,MD,Penn North,7,Western,39.3131225181,-76.6417681976
0071 094,904 Appleton St,Baltimore,MD,Midtown - Edmondson,9,Western,39.2991318954,-76.648652207
5898H100,4010 Eierman Ave,Baltimore,MD,Arcadia,3,Northeastern,39.3303531085,-76.5661194602
1467 073,1639 N Durham St,Baltimore,MD,Broadway East,12,Eastern,39.3095977066,-76.5920817924
3951 025,1720 E 28th St,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3240836322,-76.5912648931
0101 024,1319 W Lanvale St,Baltimore,MD,Harlem Park,9,Western,39.2976074285,-76.6396773475
3408 091,1516 Kensett St,Baltimore,MD,Penn North,7,Western,39.3132831017,-76.6435788308
7482 007,2320 Atlantic Ave,Baltimore,MD,Mount Winans,10,Southern,39.2606229606,-76.6477796592
2484 011,3420 Edmondson Ave,Baltimore,MD,Edgewood,8,Southwestern,39.2943299846,-76.6748252995
0411 017,713 W Lanvale St,Baltimore,MD,Upton,11,Central,39.2985251596,-76.6326127774
3210 079,1932 Ridgehill Ave,Baltimore,MD,Mondawmin,7,Western,39.311501709,-76.6491506274
3411 004,2510 Druid Hill Ave,Baltimore,MD,Penn North,7,Western,39.3134204448,-76.6415971689
1177 043,1523 E Biddle St,Baltimore,MD,Gay Street,12,Eastern,39.3040202166,-76.5967702785
1142A007,1323 Greenmount Ave,Baltimore,MD,Johnston Square,12,Eastern,39.305514112,-76.6080794634
3004 031,1909 N Longwood St,Baltimore,MD,Walbrook,7,Southwestern,39.3097393927,-76.6672925712
3000 004,3306 W North Ave,Baltimore,MD,Walbrook,7,Southwestern,39.3092063603,-76.6729632445
0252 010,931 W Lombard St,Baltimore,MD,Hollins Market,9,Southern,39.2866119331,-76.6331153272
2395 032,1005 N Dukeland St,Baltimore,MD,Mosher,9,Western,39.2998533506,-76.6631448451
0012 076,1648 N Monroe St,Baltimore,MD,Easterwood,7,Western,39.3076269689,-76.6482855773
4605A011A,4947 Edgemere Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3453713858,-76.674628057
2439 012,3122 Presbury St,Baltimore,MD,Rosemont,7,Southwestern,39.3073244888,-76.6701808076
0078 011,1236 W Lafayette Ave,Baltimore,MD,Sandtown - Winchester,9,Western,39.299298319,-76.6385760877
7841 052,1902 Griffis Ave,Baltimore,MD,Morrell Park,10,Southwestern,39.2674614916,-76.6506952416
2218 013,2804 W Mulberry St,Baltimore,MD,Penrose / Fayette Street Outreach,9,Southwestern,39.2928217335,-76.6627919971
1122 034,1531 Holbrook St,Baltimore,MD,Oliver,12,Eastern,39.3077876319,-76.6029415538
8300 005,3600 Hicks Ave,Baltimore,MD,Dorchester,5,Northwestern,39.3300407956,-76.6889479067
4179D122,3500 Erdman Ave,Baltimore,MD,Belair - Edison,13,Northeastern,39.3186480276,-76.5701367805
1608 020,839 N Montford Ave,Baltimore,MD,Milton - Montford,13,Eastern,39.3006593043,-76.5835859673
5140A019,5603 Govane Ave,Baltimore,MD,Mid - Govans,4,Northern,39.3578930649,-76.606822421
1659 052,2802 Jefferson St,Baltimore,MD,Mcelderry Park,13,Southeastern,39.2970939867,-76.5774549111
1101 055,1810 N Bond St,Baltimore,MD,Oliver,12,Eastern,39.3108772031,-76.5972630002
3206 014,2028 W North Ave,Baltimore,MD,Mondawmin,7,Western,39.3099191584,-76.6508889112
3210 054,1915 Ridgehill Ave,Baltimore,MD,Mondawmin,7,Western,39.3112555584,-76.6488101553
1450 065,1842 N Collington Ave,Baltimore,MD,Broadway East,12,Eastern,39.3118418716,-76.5877149936
2307 011,2341 W North Ave,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.3092494796,-76.6552670206
1587 140,917 N Castle St,Baltimore,MD,Middle East,13,Eastern,39.3013241137,-76.5886169571
1543 062,1239 N Decker Ave,Baltimore,MD,Berea,13,Eastern,39.3059751451,-76.5747674296
0161 011,2021 W Saratoga St,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2916835216,-76.6498252589
1209 021,1441 E Eager St,Baltimore,MD,Gay Street,12,Eastern,39.3015393846,-76.5981391768
1688 028,2229 Orleans St,Baltimore,MD,Care,13,Southeastern,39.2952986062,-76.585464519
1504 003,1405 N Montford Ave,Baltimore,MD,Broadway East,13,Eastern,39.307250384,-76.5839932035
1142B043,1316 Homewood Ave,Baltimore,MD,Johnston Square,12,Eastern,39.3056027728,-76.6068828551
0096 058,1832 Harlem Ave,Baltimore,MD,Harlem Park,9,Western,39.2965965469,-76.6470987659
4132 002,1508 Carswell St,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3233863635,-76.5962884072
0106 110,604 N Brice St,Baltimore,MD,Midtown - Edmondson,9,Western,39.2954542829,-76.649953615
2178 035A,330 S Franklintown Road,Baltimore,MD,Shipley Hill,9,Southwestern,39.283026049,-76.6576726483
2916 001F,3405 Springdale Ave,Baltimore,MD,Forest Park,7,Northwestern,39.3226409979,-76.6746531768
0388 011,3 W North Ave,Baltimore,MD,Charles North,12,Central,39.3107165632,-76.6168524649
1658 079,521 N Belnord Ave,Baltimore,MD,Mcelderry Park,13,Southeastern,39.2975356011,-76.5784869917
4607 073,3619 Lucille Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3419283433,-76.6743107262
0321 072,1900 Etting St,Baltimore,MD,Druid Heights,11,Central,39.3064375313,-76.6353225452
4580 033,3312 Spaulding Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3471618504,-76.6770321165
2742 018,3920 Norfolk Ave,Baltimore,MD,Concerned Citizens Of Forest Park,6,Northwestern,39.3244875331,-76.6845847021
3445 011,2220 Callow Ave,Baltimore,MD,Reservoir Hill,7,Central,39.3133104937,-76.6317043922
4137 051,2812 Kennedy Ave,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3233755635,-76.5940509085
4306A086E,4025 Rosecrest Ave,Baltimore,MD,Glen,5,Northwestern,39.3534149731,-76.6973764778
2450 008,1515 N Hilton St,Baltimore,MD,Rosemont,9,Southwestern,39.3056171443,-76.6717851954
1553 070,1101 N Collington Ave,Baltimore,MD,Middle East,13,Eastern,39.3038642306,-76.5867269386
0288 030,439 Furrow St,Baltimore,MD,Carrollton Ridge,9,Southwestern,39.2821001629,-76.6516394488
1629 001,701 N Linwood Ave,Baltimore,MD,Madison - Eastend,13,Eastern,39.2994070157,-76.5764213608
1482 003,2105 E Federal St,Baltimore,MD,Broadway East,13,Eastern,39.3086099422,-76.5882146669
1691 094,233 N Rose St,Baltimore,MD,Mcelderry Park,13,Southeastern,39.2953118864,-76.5811820369
0327 004,1806 Division St,Baltimore,MD,Upton,11,Central,39.3051541104,-76.6348946785
0416 016,1239 Druid Hill Ave,Baltimore,MD,Upton,11,Central,39.3020645146,-76.6282528882
1158 017,1007 E Preston St,Baltimore,MD,Oliver,12,Eastern,39.3048288272,-76.6033218071
2195 047,2812 Frederick Ave,Baltimore,MD,Carroll - South Hilton,9,Southwestern,39.2800376146,-76.6622741618
0148 018,1816 W Saratoga St,Baltimore,MD,Franklin Square,9,Western,39.2921950328,-76.6459416719
2446B059,2907 Riggs Ave,Baltimore,MD,Franklintown Road,9,Southwestern,39.2999180963,-76.6660903905
4096 004,912 Homestead St,Baltimore,MD,Better Waverly,14,Northern,39.3257058527,-76.6040650206
3836A101,2643 Barclay St,Baltimore,MD,Harwood,12,Northern,39.3208545533,-76.6108759117
1536 061,1215 N Bradford St,Baltimore,MD,Broadway East,13,Eastern,39.3052432226,-76.5846340214
0396 042,1307 Division St,Baltimore,MD,Upton,11,Central,39.3014346247,-76.6295685243
3244 013,2201 Orem Ave,Baltimore,MD,Parkview / Woodbrook,7,Western,39.3153515255,-76.6481531853
0243 024,109 S Monroe St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2857527622,-76.6465640185
1172 040,1001 E Biddle St,Baltimore,MD,Johnston Square,12,Eastern,39.3037519593,-76.603415261
0264 056,212 S Calhoun St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.2851865868,-76.6395890781
2304 002,2325 W North Ave,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.30926473,-76.6548753877
4605A014,4937 Edgemere Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3452218218,-76.6743732016
1473 033,1622 N Bradford St,Baltimore,MD,Broadway East,13,Eastern,39.3095975584,-76.5852833117
0122 036,1635 Edmondson Ave,Baltimore,MD,Harlem Park,9,Western,39.2950554742,-76.6439382921
1686 030,2050 E Fayette St,Baltimore,MD,Care,13,Southeastern,39.2943838047,-76.5877300883
1592 060,917 N Rose St,Baltimore,MD,Milton - Montford,13,Eastern,39.3015957944,-76.5815625649
1468 013,1625 N Wolfe St,Baltimore,MD,Broadway East,12,Eastern,39.3092402412,-76.5913073045
2366 014,2506 Mosher St,Baltimore,MD,Bridgeview / Greenlawn,9,Western,39.2997967416,-76.6569027388
3227 030,2114 N Fulton Ave,Baltimore,MD,Mondawmin,7,Western,39.3123705267,-76.6468850495
1477 008,1515 N Broadway,Baltimore,MD,Broadway East,12,Eastern,39.3078972918,-76.5944754107
2362 005,2522 Edmondson Ave,Baltimore,MD,Rosemont Homeowners / Tenants,9,Western,39.2949609665,-76.6571034057
4012 050,2243 Cecil Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3144211993,-76.6040040746
0177 087,1904 Vine St,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2901012608,-76.6477892028
0469 006,813 Edmondson Ave,Baltimore,MD,Upton,11,Central,39.2959145007,-76.6314580195
0114 055,626 N Arlington Ave,Baltimore,MD,Harlem Park,9,Western,39.2962529745,-76.6359900159
0223 037,2030 Frederick Ave,Baltimore,MD,Boyd - Booth,9,Southwestern,39.28620634,-76.6495199439
4511C027,3904 Hayward Ave,Baltimore,MD,Arlington,5,Northwestern,39.3467861473,-76.6841888831
0216 052,1226 Hollins St,Baltimore,MD,Hollins Market,9,Southern,39.2877362254,-76.6377785022
3347C052,2643 Loyola Southway,Baltimore,MD,Greenspring,6,Northern,39.3366992918,-76.6621484313
1164A063,1242 N Broadway,Baltimore,MD,Oliver,12,Eastern,39.3049278649,-76.5950561445
0071 076,903 Appleton St,Baltimore,MD,Midtown - Edmondson,9,Western,39.2991110324,-76.6481502345
1102 052,1830 N Broadway,Baltimore,MD,Oliver,12,Eastern,39.3114851105,-76.5954756481
1646 029,3031 E Monument St,Baltimore,MD,Ellwood Park / Monument,13,Southeastern,39.2989794698,-76.5741243269
2142 039,2625 Dulany St,Baltimore,MD,Millhill,9,Southwestern,39.2798495153,-76.6574228542
0097 007,716 N Mount St,Baltimore,MD,Harlem Park,9,Western,39.2971116756,-76.6445342793
4020 012,722 E 21st St,Baltimore,MD,East Baltimore Midway,12,Eastern,39.313799331,-76.6077233943
6159 011,321 Loneys Lane,Baltimore,MD,Ellwood Park / Monument,13,Southeastern,39.2962264579,-76.5724519857
6825 072,1216 Anglesea St,Baltimore,MD,Medford,1,Southeastern,39.2798439815,-76.5459972263
2394 007,2812 Mosher St,Baltimore,MD,Mosher,9,Western,39.2994970358,-76.6641021798
0322 037,1915 Druid Hill Ave,Baltimore,MD,Druid Heights,11,Central,39.3071341603,-76.6345231737
0179 051,116 N Mount St,Baltimore,MD,Franklin Square,9,Western,39.2901342357,-76.6440876796
2425 014,3019 Westwood Ave,Baltimore,MD,Northwest Community Action,7,Southwestern,39.3078027688,-76.6680593097
5930 026,4211 Nicholas Ave,Baltimore,MD,Belair - Edison,2,Northeastern,39.3286169833,-76.5637249259
4097 025,1129 Gorsuch Ave,Baltimore,MD,Better Waverly,14,Northern,39.3250826072,-76.6016530704
0072 036,917 N Monroe St,Baltimore,MD,Sandtown - Winchester,9,Western,39.2993995413,-76.6472854479
3957 004,1706 E 30th St,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3255577481,-76.5916658099
1101 008,1815 N Caroline St,Baltimore,MD,Oliver,12,Eastern,39.3109238446,-76.5981079208
7.892E18,2207 Langley St,Baltimore,MD,Saint Paul,10,Southern,39.2669941883,-76.6429893454
0280 092,302 S Norris St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.2841796015,-76.6401334909
1556 030,2519 E Biddle St,Baltimore,MD,Biddle Street,13,Eastern,39.304590258,-76.5819469827
0393 054,1305 Myrtle Ave,Baltimore,MD,Upton,11,Central,39.2991752643,-76.6324366928
1484 066,1504 N Bradford St,Baltimore,MD,Broadway East,13,Eastern,39.3082301446,-76.5852056953
0264 088,1412 Kuper St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.2851290961,-76.6399666226
