blockLot,fullAddress,City,State,neighborhood,councilDistrict,policeDistrict,Latitude,Longitude
1555 029,2411 E Biddle St,Baltimore,MD,Biddle Street,13,Eastern,39.3045252397,-76.5836793092
3013 053,2916 Walbrook Ave,Baltimore,MD,Walbrook,7,Southwestern,39.310493251,-76.6668260578
3937 014,2854 Harford Road,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3226120058,-76.5894229448
0164 086,219 N Bruce St,Baltimore,MD,Franklin Square,9,Western,39.2912615284,-76.6445123749
0128 052,1006 W Franklin St,Baltimore,MD,Harlem Park,9,Western,39.2945203663,-76.634423864
6265 011,3320 Noble St,Baltimore,MD,Patterson Park Neighborhood,1,Southeastern,39.2931669902,-76.5700824545
3937 030,2731 Fenwick Ave,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3232360009,-76.5900406912
1537 007,2422 E Biddle St,Baltimore,MD,Broadway East,13,Eastern,39.304912002,-76.5833754931
1477 019,1537 N Broadway,Baltimore,MD,Broadway East,12,Eastern,39.3083490671,-76.5945036449
7480 024,2611 Pierpont St,Baltimore,MD,Mount Winans,10,Southern,39.2598258973,-76.6435345396
3347 022,2507 Oswego Ave,Baltimore,MD,Greenspring,6,Northern,39.3367084446,-76.6595148405
4001 023,1908 Homewood Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3121303774,-76.6074963943
2304 021,1810 N Bentalou St,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.3088743701,-76.6543585342
0280 085,313 S Norris St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.2839504098,-76.6398291988
0702 005,510 S Pulaski St,Baltimore,MD,Carrollton Ridge,9,Southwestern,39.280609998,-76.6490802357
0083 039,825 N Payson St,Baltimore,MD,Midtown - Edmondson,9,Western,39.2983243611,-76.6489568778
5938 035,4311 Moravia Road,Baltimore,MD,Frankford,2,Northeastern,39.3291065854,-76.5594629494
7841K013,2125 Whistler Ave,Baltimore,MD,Morrell Park,10,Southwestern,39.2643636956,-76.6495622635
3816 007,334 E 22nd St,Baltimore,MD,Barclay,12,Eastern,39.3147383771,-76.6116151299
4013B023,2001 Homewood Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3127393714,-76.6068996142
1118 022,1601 E Lanvale St,Baltimore,MD,Oliver,12,Eastern,39.3093372925,-76.5964474899
2395 015,2728 Mosher St,Baltimore,MD,Mosher,9,Western,39.2995724443,-76.6625806495
2304 006,2317 W North Ave,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.3092710409,-76.6546626794
0002 057,1806 Appleton St,Baltimore,MD,Easterwood,7,Western,39.3089676166,-76.6492348383
1124 007,1500 N Eden St,Baltimore,MD,Oliver,12,Eastern,39.3073804626,-76.5999462581
1468 083,1613 N Chapel St,Baltimore,MD,Broadway East,12,Eastern,39.3092350667,-76.5907496671
0185 209,128 N Carlton St,Baltimore,MD,Poppleton,9,Western,39.2906723738,-76.636272146
0392 037,829 N Fremont Ave,Baltimore,MD,Upton,11,Central,39.2988310302,-76.6339890302
4156 005,1762 E North Ave,Baltimore,MD,South Clifton Park,12,Eastern,39.3124411499,-76.5933363622
1673 004,407 N Milton Ave,Baltimore,MD,Mcelderry Park,13,Southeastern,39.2958695481,-76.5818530156
3003 021,3040 W North Ave,Baltimore,MD,Walbrook,7,Southwestern,39.3092924705,-76.668779943
